numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
7391817556443117,23052024,Trabalho em Evento,Métodos e Ferramentas Matemáticas Utilizados no Processamento de Imagens Digitais Monocromáticas,2009,Brasil,IV Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação Tecnológica,Belém,,,,"Cláudio César da Silva Freitas (FREITAS, C. C. S.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.)"
7391817556443117,23052024,Trabalho em Evento,Using Matlab as a Tool for the Teaching of Nonlinear Systems in Engineering: The Case of the Inverted Pendulum,2010,Brasil,Dynamics Days South America 2010: International Conference on Chaos and Nonlinear Systems,São José dos Campos,,,,"Cláudio César da Silva Freitas (FREITAS, C. C. S.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.)"
7391817556443117,23052024,Trabalho em Evento,Análise Qualitativa de Sistemas Elétricos no Monitoramento de Eventos Ligados a Variações de Curta Duração,2010,Brasil,62ª Reunião Anual da SBPC,Natal - RN,,,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Leandro Barjonas da Cruz Rodrigues (RODRIGUES, L. B. C.), Jefferson Adriano Lima e Silva (SILVA, J. A. L.), Ivan Ruy Parijós Junior (PARIJÓS Jr, I. R.), Cláudio César da Silva Freitas (FREITAS, C. C. S.), Raimundo Nonato das Mercês Machado (MACHADO, R. N. M.)"
7391817556443117,23052024,Trabalho em Evento,Automação Residencial - Uma Abordagem em Relação as Atuais Tecnologias e Perspectivas para o Futuro,2010,Brasil,V Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação Tecnológica (CONNEPI),Maceió,,,,"Cláudio César da Silva Freitas (FREITAS, C. C. S.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Carlos Eduardo Pereira (PEREIRA, C. E.), Valcir João da Cunha Farias (FARIAS, V. J. C.)"
7391817556443117,23052024,Trabalho em Evento,Desenvolvimento da Educação na Engenharia: Novas Abordagens Baseadas em Experiências e Observações,2010,Brasil,V Congresso de Pesquisa e Inovação da Rede Norte e Nordeste de Educação Tecnológica (CONNEPI),Maceió,,,,"Cláudio César da Silva Freitas (FREITAS, C. C. S.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Carlos Eduardo Pereira (PEREIRA, C. E.), Valcir João da Cunha Farias (FARIAS, V. J. C.), Jennifer Deboer (DEBOER, J.), Antoine Delaine (DELAINE, A.)"
7391817556443117,23052024,Trabalho em Evento,Desenvolvimento de Protótipo Didático de Baixo Custo para Monitorar Temperatura,2010,Brasil,V Congresso Norte-Nordeste de Pesquisa e Inovação (CONNEPI),Maceió,,,,"Cláudio César da Silva Freitas (FREITAS, C. C. S.), Danilo Azevedo Figueiredo (FIGUEIREDO, D. A.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Ricardo Vinícius Coelho Silva Andrade (ANDRADE, R. V. C. S.), Valcir João da Cunha Farias (FARIAS, V. J. C.)"
7391817556443117,23052024,Trabalho em Evento,Computational Efficiency in the Use of Scilab in Methods Applied to Engineering: A Case Study in Analog Electronic Filters,2011,Portugal,"International Conference on Engineering and Computer Education, ICECE 2011",Guimarães,,,,"Leandro Barjonas da Cruz Rodrigues (RODRIGUES, L. B. C.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Jefferson Adriano Lima e Silva (SILVA, J. A. L.), Ricardo Vinícius Coelho Silva Andrade (ANDRADE, R. V. C. S.)"
7391817556443117,23052024,Trabalho em Evento,SBA Jovem - Comitê Estudantil da Sociedade Brasileira de Automática: Uma Nova Abordagem para Integrar os Estudantes e a Engenharia,2010,Brasil,XXXVIII Congresso Brasileiro de Educação em Engenharia,Fortaleza,,,,"Eric Carvalho Lopes (LOPES, E. C.), Cláudio César da Silva Freitas (FREITAS, C. C. S.), Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Carlos Eduardo Pereira (PEREIRA, C. E.), Valcir João da Cunha Farias (FARIAS, V. J. C.)"
7391817556443117,23052024,Trabalho em Evento,Modelagem no Tempo Discreto para uma Planta de Fluxo Utilizando Algoritmos Recursivos,2012,Brasil,XXXIV Congresso Nacional de Matemática Aplicada e Computacional (CNMAC),Águas de Lindóia,,,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Rejane de Barros Araújo (ARAUJO, R. B.), João Antonio Corrêa Pinto (PINTO, J. A. C.)"
7391817556443117,23052024,Trabalho em Evento,Desenvolvimento de um Sistema Supervisório para uma Planta Didática de Nível,2012,Brasil,"IV Seminário de Iniciação Científica, Tecnológica e Inovação das Instituições de Ensino Federal de Educação, Ciência e Tecnologia do Pará",Marabá,,,,"Brehme D'napoli Reis de Mesquita (MESQUITA, B.D.R.), Jefferson Adriano Lima e Silva (SILVA, J. A. L.), Ricardo Vinícius Coelho Silva Andrade (ANDRADE, R. V. C. S.), João Antonio Corrêa Pinto (PINTO, J. A. C.)"
